number,title,character,line
4,Star Trek IV: The Voyage Home,SARATOGA CAPTAIN,Emergency Thrusters!
4,Star Trek IV: The Voyage Home,SARATOGA HELMSMAN,"No response, Captain!"
4,Star Trek IV: The Voyage Home,SARATOGA CAPTAIN,Emergency lights! ...Damage report!
4,Star Trek IV: The Voyage Home,SARATOGA SCIENCE OFFICER,All systems have failed. ...We are functioning on reserve power only.
4,Star Trek IV: The Voyage Home,SARATOGA CAPTAIN,"Starfleet Command, this is Saratoga. Can you hear me? Come in, please. ...Come in, please."
4,Star Trek IV: The Voyage Home,STARFLEET AIDE,"Thank you, sir."
4,Star Trek IV: The Voyage Home,FEDERATION PRESIDENT,"Status report, Admiral!"
4,Star Trek IV: The Voyage Home,CARTWRIGHT,"Mister President, the Probe is headed directly for us, The signal is damaging everything in its path. The Klingons have lost two vessels. Two starships and three smaller vessels have been neutralized."
4,Star Trek IV: The Voyage Home,FEDERATION PRESIDENT,Neutralized? How?
4,Star Trek IV: The Voyage Home,CARTWRIGHT,We don't know. Get me the Yorktown.
4,Star Trek IV: The Voyage Home,YORKTOWN CAPTAIN,Emergency channel zero one three zero. Code red. It has been three hours since our contact with the alien Probe. All attempts at regaining power have failed.
4,Star Trek IV: The Voyage Home,CARTWRIGHT,It's using forms of energy we do not understand.
4,Star Trek IV: The Voyage Home,FEDERATION PRESIDENT,Can you protect us?
4,Star Trek IV: The Voyage Home,CARTWRIGHT,We are launching everything we have.
4,Star Trek IV: The Voyage Home,YORKTOWN CAPTAIN,"Our systems engineers are trying to deploy a makeshift solar-sail. We have high hopes that this will, if successful, generate power to keep us alive."
4,Star Trek IV: The Voyage Home,KIRK,Systems report. Communications?
4,Star Trek IV: The Voyage Home,UHURA,"Communications systems all ready, sir. Communications officer is as ready as she'll ever be."
4,Star Trek IV: The Voyage Home,KIRK,Mister Sulu?
4,Star Trek IV: The Voyage Home,SULU,Guidance is functional. Onboard computer will interface with Federation memory bank.
4,Star Trek IV: The Voyage Home,KIRK,Weapons systems?
4,Star Trek IV: The Voyage Home,CHEKOV,"Operational, Admiral. Cloaking device now available on all flight modes."
4,Star Trek IV: The Voyage Home,KIRK,"I'm impressed, A lot of effort for a short voyage."
4,Star Trek IV: The Voyage Home,CHEKOV,"We are in an enemy wessel, sir. I didn't wish to be shot down on the way to our own funeral."
4,Star Trek IV: The Voyage Home,KIRK,"Most prudent. ...Engine room. Report, Mister Scott."
4,Star Trek IV: The Voyage Home,SCOTT,"We're ready, sir. I've converted the dilithium sequencer into something a little less primitive. And Admiral, ...I have replaced the Klingon food packs. They was givin' me sour stomach."
4,Star Trek IV: The Voyage Home,KIRK,"Oh, is that what it was? ...Prepare for departure. Everybody not going to Earth had better get off. Saavik, ...this is goodbye."
4,Star Trek IV: The Voyage Home,SAAVIK,Yes sir.
4,Star Trek IV: The Voyage Home,KIRK,Thank you.
4,Star Trek IV: The Voyage Home,SAAVIK,"Sir. I have not had the opportunity to tell you about your son. David died most bravely. He saved Spock. He saved us all. ...I thought you should know. ...Good day, Captain Spock. ...May your journey be free of incident."
4,Star Trek IV: The Voyage Home,SPOCK,"Live long and prosper, Lieutenant. ...Permission to come aboard."
4,Star Trek IV: The Voyage Home,KIRK,Permission granted.
4,Star Trek IV: The Voyage Home,SPOCK,"Thank you, Admiral."
4,Star Trek IV: The Voyage Home,KIRK,"Jim, Spock! Jim! Don't you remember?"
4,Star Trek IV: The Voyage Home,SPOCK,"It would not be proper to refer to you as Jim while you are in command, Admiral. ...Also, I must apologize for my attire. ...I seem to have misplaced my uniform."
4,Star Trek IV: The Voyage Home,KIRK,Station. Mc
4,Star Trek IV: The Voyage Home,COY,Are you sure this is such a bright idea?
4,Star Trek IV: The Voyage Home,KIRK,What do you mean? Mc
4,Star Trek IV: The Voyage Home,COY,"Him? I mean him, back at his post, like nothing happened. I don't know if you've got the whole picture but he isn't exactly working on all thrusters."
4,Star Trek IV: The Voyage Home,KIRK,It'll come back to him. Mc
4,Star Trek IV: The Voyage Home,COY,Are you sure? ...That's what I thought.
4,Star Trek IV: The Voyage Home,KIRK,"Mister Sulu, ...take us home."
4,Star Trek IV: The Voyage Home,SULU,Thrusters functional. ...One-quarter impulse power
4,Star Trek IV: The Voyage Home,STARFLEET VOICE,"Spacedock, this is Starfleet Command. Launch all vessels. Launch all vessels."
4,Star Trek IV: The Voyage Home,CONTROLLER #2,Sir! Spacedock doors are inoperative! All emergency systems are non-functional.
4,Star Trek IV: The Voyage Home,CONTROLLER #1,Engage reserve power.
4,Star Trek IV: The Voyage Home,CONTROLLER #2,Aye sir.
4,Star Trek IV: The Voyage Home,CONTROLLER #1,"Starfleet Command, this is Spacedock on emergency channel. We have lost all internal power."
4,Star Trek IV: The Voyage Home,SULU,"Estimating Planet Earth, one point six hours present speed."
4,Star Trek IV: The Voyage Home,KIRK,"Continue on course. Chekov, any signs of Federation escort?"
4,Star Trek IV: The Voyage Home,CHEKOV,No sir. And no Federation wessels on assigned patrol stations.
4,Star Trek IV: The Voyage Home,KIRK,"That's odd. Uhura, what's on the com channels?"
4,Star Trek IV: The Voyage Home,UHURA,"Very active, sir. Multi-phasic transmissions, overlapping. It's almost a gibberish. I will see if I can sort it out. Mc"
4,Star Trek IV: The Voyage Home,COY,Hi. ...Busy?
