number,title,character,line
9,Star Trek: Insurrection,DOUGHERTY,"Good luck, Captain. Dougherty out."
9,Star Trek: Insurrection,WORF,Sensors are not picking up any ships coming from the surface.
9,Star Trek: Insurrection,PICARD,Transmit a wide band co-variant signal. That ought to get his attention.
9,Star Trek: Insurrection,WORF,He must be using the planet's rings to mask his approach.
9,Star Trek: Insurrection,PICARD,The metaphasic radiation of the rings is in a state of extreme flux. We'll steer clear of those.
9,Star Trek: Insurrection,PICARD,"'Come out, come out, wherever you are.'"
9,Star Trek: Insurrection,WORF,Sir?
9,Star Trek: Insurrection,PICARD,"Oh, that's something that my mother..."
9,Star Trek: Insurrection,PICARD,"Hold on. ...Open all hailing frequencies. ...Data, this is Captain Picard. Data, please respond!"
9,Star Trek: Insurrection,WORF,"If we fire a tachyon burst, it may force him to reset his shield harmonics. When he does, we can beam him out."
9,Star Trek: Insurrection,PICARD,Make it so.
9,Star Trek: Insurrection,WORF,Direct hit. He is resetting his shield harmonics.
9,Star Trek: Insurrection,PICARD,Beam him out!
9,Star Trek: Insurrection,WORF,He's activated a transport inhibitor.
9,Star Trek: Insurrection,PICARD,Prepare to enter the atmosphere. We'll use the ionospheric boundary to shake him.
9,Star Trek: Insurrection,WORF,Scanners are off line!
9,Star Trek: Insurrection,PICARD,"Evasive maneuvers, ...heading one four zero mark three one."
9,Star Trek: Insurrection,PICARD,He can fly a ship. He can anticipate tactical strategies. Clearly his brain is functioning. We've seen how he responds to threats. I wonder how he would respond...
9,Star Trek: Insurrection,PICARD,"Mister Worf, do you know Gilbert and Sullivan?"
9,Star Trek: Insurrection,WORF,No sir. I have not had a chance to meet all the new crewmembers since I have been back.
9,Star Trek: Insurrection,PICARD,"They're composers, Worf, ...from the nineteenth century."
9,Star Trek: Insurrection,PICARD,Data was rehearsing a production of H.M.S. Pinafore just before he left.
9,Star Trek: Insurrection,PICARD,"'A British tar is a soaring soul, as free as a mountain bird.'"
9,Star Trek: Insurrection,PICARD,'His energetic first should be ready to resist'
