number,title,character,line
3,Star Trek III: The Search for Spock,COMPUTER VOICE,Flight recorder visual. Twenty-eight point seven six.
3,Star Trek III: The Search for Spock,KIRK,Go.
3,Star Trek III: The Search for Spock,MCCOY,You're not going in there!
3,Star Trek III: The Search for Spock,SPOCK,Perhaps you're right. What is Mister Scott's condition?
3,Star Trek III: The Search for Spock,MCCOY,"Well, I don't think that he..."
3,Star Trek III: The Search for Spock,SPOCK,"I'm sorry, Doctor. I have no time to discuss this logically."
3,Star Trek III: The Search for Spock,KIRK,Freeze! ...Repeat ...and augment!
3,Star Trek III: The Search for Spock,SPOCK,Remember!
3,Star Trek III: The Search for Spock,KIRK,McCoy!
3,Star Trek III: The Search for Spock,SAREK,"One alive, one not. Yet both in pain."
3,Star Trek III: The Search for Spock,KIRK,What must I do?
3,Star Trek III: The Search for Spock,SAREK,"You must bring them to Mount Seleya, ...on Vulcan. Only there can both find peace."
3,Star Trek III: The Search for Spock,KIRK,What you ask ...is difficult.
3,Star Trek III: The Search for Spock,SAREK,"You will find a way, Kirk. ...If you honor them both, you must."
3,Star Trek III: The Search for Spock,KIRK,I will. I swear.
3,Star Trek III: The Search for Spock,ESTEBAN,"Transporter room, stand by to energize."
3,Star Trek III: The Search for Spock,HELM,Aye sir. Energizing now.
3,Star Trek III: The Search for Spock,ESTEBAN,Grissom to Saavik. We're picking up radiation from the lifeform.
3,Star Trek III: The Search for Spock,SAAVIK,"Affirmative, Captain. Our readings are well below danger level."
3,Star Trek III: The Search for Spock,ESTEBAN,"Very well. Exercise caution, Lieutenant. This landing is Captain's discretion and I'm the one who's out on a limb."
3,Star Trek III: The Search for Spock,SAAVIK,I'll try to remember that.
3,Star Trek III: The Search for Spock,DAVID,"There are your lifeforms. These were microbes on the tube's surface. We shot them here from Enterprise. ...They were fruitful, and multiplied."
3,Star Trek III: The Search for Spock,SAAVIK,But how could they have evolved so quickly?
3,Star Trek III: The Search for Spock,DAVID,Saavik. ...What is it?
3,Star Trek III: The Search for Spock,SAAVIK,Spock's burial robe.
3,Star Trek III: The Search for Spock,MORROW,"No. Absolutely not, Jim, ...You are my best officer. But I am Commander, Starfleet, so I don't break rules!"
3,Star Trek III: The Search for Spock,KIRK,"Don't quote rules to me. I'm talking about loyalty and sacrifice. One man who's died for us, another who has deep emotional problems."
3,Star Trek III: The Search for Spock,MORROW,"Now! Wait a minute! This business about Spock and McCoy. ...Honestly, I never understood Vulcan mysticism."
3,Star Trek III: The Search for Spock,KIRK,You don't have to believe! I'm not even sure I believe. But even if there's a chance that Spock has an eternal soul ...then it's my responsibility.
3,Star Trek III: The Search for Spock,MORROW,Yours?
3,Star Trek III: The Search for Spock,KIRK,As surely as if it were my very own! Give me back the Enterprise! With Scotty's help I could...
3,Star Trek III: The Search for Spock,MORROW,"No, Jim! The Enterprise would never stand the pounding and you know it."
3,Star Trek III: The Search for Spock,KIRK,Then I'll find a ship. I'll hire a ship.
3,Star Trek III: The Search for Spock,MORROW,"Out of the question, my friend! The Council has ordered that no one but the science team goes to Genesis! Jim, your life and your career stand for rationality, not intellectual chaos. Keep up this emotional behavior and you'll lose everything. You'll destroy yourself! Do you understand me, Jim?"
3,Star Trek III: The Search for Spock,KIRK,I hear you. ...I had to try.
3,Star Trek III: The Search for Spock,MORROW,Of course.
3,Star Trek III: The Search for Spock,KIRK,Thanks for the drink.
3,Star Trek III: The Search for Spock,MORROW,Any time.
3,Star Trek III: The Search for Spock,SULU,"The word, sir?"
3,Star Trek III: The Search for Spock,KIRK,The word ...is no. I am therefore going anyway.
3,Star Trek III: The Search for Spock,SULU,"You can count on our help, sir."
3,Star Trek III: The Search for Spock,KIRK,"Thank you, Mister Sulu. I'll need it."
3,Star Trek III: The Search for Spock,CHEKOV,Shall I alert Doctor McCoy?
3,Star Trek III: The Search for Spock,KIRK,Please. He has a long journey ahead of him.
3,Star Trek III: The Search for Spock,WAITRESS,"Long time, Doc."
3,Star Trek III: The Search for Spock,MCCOY,Yeah. ...Anybody been looking for me?
3,Star Trek III: The Search for Spock,WAITRESS,"I have, ...but what's the use? What'll it be?"
3,Star Trek III: The Search for Spock,MCCOY,Altair water.
3,Star Trek III: The Search for Spock,WAITRESS,That's not your usual poison.
3,Star Trek III: The Search for Spock,MCCOY,To expect one to order poison in a bar is not logical.
3,Star Trek III: The Search for Spock,WAITRESS,Got it.
3,Star Trek III: The Search for Spock,ALIEN,"To your planet, welcome."
3,Star Trek III: The Search for Spock,MCCOY,"I think that's my line, stranger."
3,Star Trek III: The Search for Spock,ALIEN,"Oh, forgive. I here am new. But you are known, being McCoy from Enterprise."
3,Star Trek III: The Search for Spock,MCCOY,"You have me at a disadvantage, sir."
3,Star Trek III: The Search for Spock,ALIEN,I name not important. You seek I. Message received. Available ship stands by.
3,Star Trek III: The Search for Spock,MCCOY,How much and how soon?
3,Star Trek III: The Search for Spock,ALIEN,How soon is now. How much is where?
3,Star Trek III: The Search for Spock,MCCOY,Somewhere in the Mutara Sector.
3,Star Trek III: The Search for Spock,ALIEN,"Oh. Mutara restricted. Take permits many. Money, more."
3,Star Trek III: The Search for Spock,MCCOY,"There aren't going to be any damn permits! How can you get a permit to do a damn illegal thing? Look, price you name, money I got."
3,Star Trek III: The Search for Spock,ALIEN,"Place you name, money I name. Otherwise, bargain, no."
3,Star Trek III: The Search for Spock,MCCOY,"All right, dammit. It's Genesis. The name of the place we're going is Genesis."
3,Star Trek III: The Search for Spock,ALIEN,Genesis!
3,Star Trek III: The Search for Spock,MCCOY,"Yes, Genesis! How can you be deaf with ears like that?"
3,Star Trek III: The Search for Spock,ALIEN,Genesis allowed is not. ...It's planet forbidden.
3,Star Trek III: The Search for Spock,MCCOY,"Look, my backwards friend! Genesis may be 'planet forbidden' but I'm damn well..."
3,Star Trek III: The Search for Spock,CIVILIAN AGENT,"Sir, ...I'm sorry, but your voice is carrying. I don't think you want to be discussing this subject in public."
3,Star Trek III: The Search for Spock,MCCOY,"I'll discuss what I like, and who the hell are you?"
3,Star Trek III: The Search for Spock,CIVILIAN AGENT,"Could I offer you a ride home, Doctor McCoy?"
3,Star Trek III: The Search for Spock,MCCOY,"Where's the logic in offering me a ride home, you idiot! If I wanted a ride home, would I be trying to charter a space flight?"
3,Star Trek III: The Search for Spock,ALIEN,Aarrgh!
3,Star Trek III: The Search for Spock,MCCOY,How the hell do you know who I am?
3,Star Trek III: The Search for Spock,CIVILIAN AGENT,"Federation Security, sir."
3,Star Trek III: The Search for Spock,CIVILIAN AGENT,"You're going to get a nice, long rest, Doctor."
3,Star Trek III: The Search for Spock,SAAVIK,Saavik to Grissom. We are definitely reading a second lifeform.
3,Star Trek III: The Search for Spock,ESTEBAN,"We concur. Proceed with caution, Saavik."
3,Star Trek III: The Search for Spock,ESTEBAN,What the hell is going on down there?
3,Star Trek III: The Search for Spock,GUARD #1,"Make it quick, Admiral. They're moving him to the Federation funny farm."
3,Star Trek III: The Search for Spock,KIRK,"Yes, poor friend. I hear he's fruity as a nut cake."
3,Star Trek III: The Search for Spock,GUARD #1,Two minutes.
3,Star Trek III: The Search for Spock,MCCOY,Jim.
3,Star Trek III: The Search for Spock,KIRK,How many fingers do I have up?
3,Star Trek III: The Search for Spock,MCCOY,That's not very damn funny.
3,Star Trek III: The Search for Spock,KIRK,Your sense of humor's returned.
3,Star Trek III: The Search for Spock,MCCOY,The hell it has. What's that?
3,Star Trek III: The Search for Spock,KIRK,Lexorin.
3,Star Trek III: The Search for Spock,MCCOY,Lexorin? What for?
3,Star Trek III: The Search for Spock,KIRK,"You're suffering from a Vulcan mind meld, Doctor."
3,Star Trek III: The Search for Spock,MCCOY,That green-blooded son of a bitch! It's his revenge for all the arguments he lost.
3,Star Trek III: The Search for Spock,KIRK,Let me see your hand. This will make you well enough to travel.
3,Star Trek III: The Search for Spock,SULU,Where's Admiral Kirk?
3,Star Trek III: The Search for Spock,GUARD #1,With the prisoner.
3,Star Trek III: The Search for Spock,SULU,"Get him quickly. Commander, Starfleet wants him right away."
3,Star Trek III: The Search for Spock,GUARD #2,Uuhh!
3,Star Trek III: The Search for Spock,SULU,Keeping you busy?
3,Star Trek III: The Search for Spock,GUARD #2,"Don't get smart, Tiny."
